iter	Passed	Remaining
0	13	1369
1	29	1456
2	44	1453
3	60	1447
4	75	1434
5	91	1433
6	107	1424
7	122	1413
8	138	1402
9	153	1385
10	169	1373
11	185	1358
12	201	1346
13	216	1330
14	232	1315
15	247	1300
16	262	1283
17	278	1269
18	293	1252
19	309	1236
20	324	1219
21	339	1202
22	354	1185
23	369	1169
24	383	1151
25	398	1135
26	413	1118
27	429	1103
28	444	1089
29	460	1073
30	475	1058
31	491	1044
32	506	1028
33	521	1012
34	537	997
35	552	982
36	568	968
37	584	953
38	600	938
39	615	923
40	630	907
41	645	892
42	660	876
43	676	860
44	691	844
45	706	828
46	720	812
47	735	796
48	750	781
49	765	765
50	781	750
51	796	735
52	812	720
53	828	706
54	844	691
55	860	676
56	876	660
57	891	645
58	906	629
59	921	614
60	936	598
61	951	583
62	967	568
63	982	552
64	997	536
65	1012	521
66	1026	505
67	1042	490
68	1058	475
69	1073	460
70	1089	444
71	1104	429
72	1119	414
73	1135	398
74	1150	383
75	1165	368
76	1181	352
77	1196	337
78	1212	322
79	1228	307
80	1244	291
81	1259	276
82	1275	261
83	1291	245
84	1306	230
85	1322	215
86	1336	199
87	1352	184
88	1367	169
89	1382	153
90	1397	138
91	1412	122
92	1428	107
93	1443	92
94	1459	76
95	1474	61
96	1490	46
97	1539	31
98	1561	15
99	1577	0
